[2025/04/22 12:40:57] - Namespace(model='ResNet18', batch_size=512, data_dir='./data', epochs=110, lr_schedule='multistep', milestone1=100, milestone2=105, lr_min=0.0, lr_max=0.1, weight_decay=0.0005, momentum=0.9, seed=0, save_epoch=1, inner_gamma=0.15, outer_gamma=0.15, beta=0.6, lamda=0.65, batch_m=0.75, epsilon=8, alpha=8, delta_init='random', out_dir='TDAT_CIFAR100', log='CIFAR100.log')
[2025/04/22 12:42:03] - Epoch 	 Seconds 	 LR 	 Inner Loss 	 Train Loss 	 Train Acc 	 Test Loss 	 Test Acc 	 PGD Loss 	 PGD Acc 	 FGSM Loss 	 FGSM Acc 	 C&W Loss 	 C&W Acc
[2025/04/22 18:08:39] - 84 	 86.0 	 	 0.1000 	 44.2860 	 	 4.4157 	 0.8115 	 3.2373 	 	 0.5829 	 3.8031 	 0.1569 	 3.3886 	 0.4975 	 3.6812 	 0.1184
[2025/04/22 18:12:27] - 85 	 86.8 	 	 0.1000 	 44.3189 	 	 4.4056 	 0.8244 	 3.2564 	 	 0.5718 	 3.8516 	 0.1345 	 3.4829 	 0.4547 	 3.7321 	 0.0998
[2025/04/22 18:16:13] - 86 	 86.3 	 	 0.1000 	 44.3241 	 	 4.4068 	 0.8252 	 3.2635 	 	 0.5607 	 3.8335 	 0.1345 	 3.3927 	 0.4896 	 3.7129 	 0.1030
[2025/04/22 18:20:00] - 87 	 86.3 	 	 0.1000 	 44.3204 	 	 4.4078 	 0.8222 	 3.2677 	 	 0.5708 	 3.8106 	 0.1687 	 3.4568 	 0.4596 	 3.7042 	 0.1345
[2025/04/22 18:23:47] - 88 	 86.4 	 	 0.1000 	 44.3142 	 	 4.4097 	 0.8204 	 3.2958 	 	 0.5537 	 3.8482 	 0.1473 	 3.4333 	 0.4826 	 3.7423 	 0.1177
[2025/04/22 18:27:34] - 89 	 86.7 	 	 0.1000 	 44.3020 	 	 4.4111 	 0.8202 	 3.2276 	 	 0.5695 	 3.8151 	 0.1388 	 3.4090 	 0.4785 	 3.6990 	 0.1088
[2025/04/22 18:31:21] - 90 	 86.2 	 	 0.1000 	 44.3184 	 	 4.4091 	 0.8204 	 3.3037 	 	 0.5589 	 3.8503 	 0.1532 	 3.4645 	 0.4633 	 3.7379 	 0.1220
[2025/04/22 18:35:08] - 91 	 86.5 	 	 0.1000 	 44.2925 	 	 4.4137 	 0.8151 	 3.2908 	 	 0.5635 	 3.8216 	 0.1566 	 3.4880 	 0.4471 	 3.7088 	 0.1229
[2025/04/22 18:38:54] - 92 	 86.2 	 	 0.1000 	 44.3074 	 	 4.4098 	 0.8220 	 3.3921 	 	 0.5258 	 3.8801 	 0.1337 	 3.5141 	 0.4506 	 3.7731 	 0.1008
[2025/04/22 18:42:39] - 93 	 85.9 	 	 0.1000 	 44.3097 	 	 4.4110 	 0.8185 	 3.3326 	 	 0.5610 	 3.8695 	 0.1441 	 3.4878 	 0.4697 	 3.7589 	 0.1073
[2025/04/22 18:46:24] - 94 	 85.8 	 	 0.1000 	 44.3025 	 	 4.4117 	 0.8192 	 3.2616 	 	 0.5640 	 3.8210 	 0.1539 	 3.4125 	 0.4828 	 3.7058 	 0.1206
[2025/04/22 18:50:09] - 95 	 85.9 	 	 0.1000 	 44.3029 	 	 4.4110 	 0.8219 	 3.2774 	 	 0.5643 	 3.8334 	 0.1581 	 3.5414 	 0.4146 	 3.7251 	 0.1258
[2025/04/22 18:53:55] - 96 	 85.9 	 	 0.1000 	 44.2953 	 	 4.4137 	 0.8149 	 3.2960 	 	 0.5649 	 3.8462 	 0.1368 	 3.5352 	 0.4200 	 3.7324 	 0.1061
[2025/04/22 18:57:41] - 97 	 86.0 	 	 0.1000 	 44.3056 	 	 4.4112 	 0.8213 	 3.2270 	 	 0.5722 	 3.8079 	 0.1612 	 3.4156 	 0.4852 	 3.7000 	 0.1280
[2025/04/22 19:01:28] - 98 	 86.4 	 	 0.1000 	 44.3054 	 	 4.4119 	 0.8186 	 3.2599 	 	 0.5676 	 3.7878 	 0.1865 	 3.4271 	 0.4773 	 3.6852 	 0.1491
[2025/04/22 19:05:14] - 99 	 86.4 	 	 0.1000 	 44.2925 	 	 4.4148 	 0.8166 	 3.2858 	 	 0.5657 	 3.8341 	 0.1615 	 3.4881 	 0.4598 	 3.7282 	 0.1253
[2025/04/22 19:09:01] - 100 	 86.5 	 	 0.1000 	 44.2973 	 	 4.4120 	 0.8208 	 3.3321 	 	 0.5471 	 3.8341 	 0.1602 	 3.4773 	 0.4588 	 3.7306 	 0.1267
[2025/04/22 19:12:47] - 101 	 86.0 	 	 0.0100 	 44.3435 	 	 4.3899 	 0.8806 	 3.1631 	 	 0.6366 	 3.7811 	 0.2130 	 3.3432 	 0.5381 	 3.6660 	 0.1716
[2025/04/22 19:16:34] - 102 	 86.5 	 	 0.0100 	 44.3827 	 	 4.3783 	 0.9076 	 3.1721 	 	 0.6404 	 3.7893 	 0.2147 	 3.3521 	 0.5454 	 3.6776 	 0.1742
[2025/04/22 19:20:19] - 103 	 85.8 	 	 0.0100 	 44.4019 	 	 4.3741 	 0.9178 	 3.1843 	 	 0.6350 	 3.7973 	 0.2173 	 3.3509 	 0.5474 	 3.6890 	 0.1804
